State,County,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
Alabama,Limestone,2/5/2022,2/23/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Montgomery,10/29/2022,11/7/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Alabama,Elmore,11/4/2022,11/10/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Elmore,11/4/2022,11/10/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Montgomery,11/7/2022,11/16/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Montgomery,11/7/2022,11/16/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Tallapoosa,11/30/2022,12/8/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Lamar,11/30/2022,12/8/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Lamar,11/30/2022,12/8/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Cullman,12/5/2022,12/13/2022,EA/AM H5N1,Red-shouldered hawk,Wild bird,Morbidity/Mortality,AL DCNR
Alabama,Jackson,12/12/2022,12/20/2022,EA/AM H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,12/3/2022,12/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,12/3/2022,12/20/2022,EA H5N1 mixed,Mallard,Wild bird,Hunter harvest,NWDP
Alabama,Jackson,12/13/2022,12/22/2022,EA/AM H5N1,Canada goose,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,12/10/2022,1/4/2023,EA/AM H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,12/10/2022,1/4/2023,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
